base_model,model_name,model_cfg,train_cfg,seed,status,return_code,duration_sec,mae,mape,rmse,time
chebnet_gru,chebnet_gru_s42_20260414_182605,chebnet_gru.yaml,default.yaml,42,success,0,191.72,18.1695,10.7697,28.8546,2026-04-14 18:29:15
chebnet_gru,chebnet_gru_s2026_20260414_182917,chebnet_gru.yaml,default.yaml,2026,success,0,219.71,18.4127,11.348,29.0174,2026-04-14 18:32:55
chebnet_gru,chebnet_gru_s3407_20260414_183256,chebnet_gru.yaml,default.yaml,3407,success,0,198.82,18.0387,10.704,28.6092,2026-04-14 18:36:14
chebnet_none,chebnet_none_s42_20260414_183615,chebnet_none.yaml,default.yaml,42,success,0,89.63,20.9717,12.8044,33.3282,2026-04-14 18:37:43
chebnet_none,chebnet_none_s2026_20260414_183745,chebnet_none.yaml,default.yaml,2026,success,0,111.48,20.6851,12.1432,33.1359,2026-04-14 18:39:35
chebnet_none,chebnet_none_s3407_20260414_183936,chebnet_none.yaml,default.yaml,3407,success,0,84.25,20.7779,12.1491,33.3165,2026-04-14 18:40:59
gat_gru,gat_gru_s42_20260414_184100,gat_gru.yaml,gat_safe.yaml,42,success,0,971.88,20.3167,12.303,32.0399,2026-04-14 18:57:11
gat_gru,gat_gru_s2026_20260414_185712,gat_gru.yaml,gat_safe.yaml,2026,success,0,1063.73,20.5612,13.0413,32.0908,2026-04-14 19:14:55
gat_gru,gat_gru_s3407_20260414_191456,gat_gru.yaml,gat_safe.yaml,3407,success,0,747.06,20.2879,11.856,32.0943,2026-04-14 19:27:22
gat_none,gat_none_s42_20260414_192723,gat_none.yaml,gat_safe.yaml,42,success,0,842.7,20.8239,12.564,33.0445,2026-04-14 19:41:25
gat_none,gat_none_s2026_20260414_194126,gat_none.yaml,gat_safe.yaml,2026,success,0,819.27,20.8383,12.3362,33.1308,2026-04-14 19:55:04
gat_none,gat_none_s3407_20260414_195505,gat_none.yaml,gat_safe.yaml,3407,success,0,835.81,21.0493,12.1514,33.4163,2026-04-14 20:09:00
gcn_gru,gcn_gru_s42_20260414_200901,gcn_gru.yaml,default.yaml,42,success,0,255.89,20.3677,12.1617,32.214,2026-04-14 20:13:16
gcn_gru,gcn_gru_s2026_20260414_201317,gcn_gru.yaml,default.yaml,2026,success,0,233.64,20.3408,12.1202,32.3042,2026-04-14 20:17:09
gcn_gru,gcn_gru_s3407_20260414_201710,gcn_gru.yaml,default.yaml,3407,success,0,221.78,20.3032,11.9639,32.3089,2026-04-14 20:20:51
gcn_gru_correlation,gcn_gru_correlation_s42_20260414_202052,gcn_gru_correlation.yaml,default.yaml,42,success,0,210.38,20.3447,12.0059,32.4544,2026-04-14 20:24:22
gcn_gru_correlation,gcn_gru_correlation_s2026_20260414_202423,gcn_gru_correlation.yaml,default.yaml,2026,success,0,248.41,20.2839,12.1086,32.2678,2026-04-14 20:28:30
gcn_gru_correlation,gcn_gru_correlation_s3407_20260414_202831,gcn_gru_correlation.yaml,default.yaml,3407,success,0,238.49,20.1971,11.7294,32.2863,2026-04-14 20:32:28
gcn_gru_distance_correlation,gcn_gru_distance_correlation_s42_20260414_203229,gcn_gru_distance_correlation.yaml,default.yaml,42,success,0,228.14,20.1547,11.9478,32.0373,2026-04-14 20:36:17
gcn_gru_distance_correlation,gcn_gru_distance_correlation_s2026_20260414_203618,gcn_gru_distance_correlation.yaml,default.yaml,2026,success,0,343.21,20.0888,12.0871,31.7145,2026-04-14 20:42:00
gcn_gru_distance_correlation,gcn_gru_distance_correlation_s3407_20260414_204201,gcn_gru_distance_correlation.yaml,default.yaml,3407,success,0,268.91,19.9509,11.6462,31.7274,2026-04-14 20:46:29
gcn_none,gcn_none_s42_20260414_204630,gcn_none.yaml,default.yaml,42,success,0,183.14,20.9508,12.0439,33.7622,2026-04-14 20:49:32
gcn_none,gcn_none_s2026_20260414_204933,gcn_none.yaml,default.yaml,2026,success,0,140.7,20.8858,12.4688,33.434,2026-04-14 20:51:53
gcn_none,gcn_none_s3407_20260414_205154,gcn_none.yaml,default.yaml,3407,success,0,129.96,20.7876,12.1848,33.2838,2026-04-14 20:54:03
